13,35,56,63,50,44,18,90,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,156,172,201,207,208,213,215,216,222,225,232,233,236,238,239,240,245,249,252,260,261,277,279,283,285,291,295,296,303,305,309,310,337,366,242,211,234,246,206,165,200,202,230,219,213,114,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,192,196,201,222,223,235,247,252,255,256,258,259,261,263,266,269,276,288,291,305,310,312,322,329,337,314,280,258,216,212,239,284,192,209,211,237,237,235,206,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,224,228,232,235,246,257,262,268,270,280,280,283,283,286,289,292,306,308,309,313,320,333,345,351,369,278,232,402,290,237,327,260,227,343,313,307,298,253,243,243,229,319,308,313,206,214,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,238,245,245,246,252,262,267,271,274,281,291,300,309,310,324,330,336,340,353,358,366,370,374,391,445,251,245,229,226,356,260,370,272,249,299,263,233,256,310,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,211,231,242,252,268,276,280,285,290,303,307,309,315,317,318,329,330,331,348,351,354,356,356,372,393,441,558,339,252,211,119,227,244,204,199,455,396,320,241,247,333,238,235,130,236,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,244,261,265,280,293,298,304,305,306,307,308,308,311,314,317,319,321,326,336,346,348,353,423,433,434,273,210,302,491,333,332,252,282,325,317,331,314,244,291,231,235,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,237,274,277,283,298,298,306,315,317,318,325,325,325,330,332,339,345,348,355,358,366,368,375,381,384,384,385,388,398,398,402,408,413,420,423,460,463,533,340,372,312,213,401,385,344,325,309,308,356,357,271,398,390,344,281,512,441,316,237,376,286,282,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,298,319,331,334,342,342,352,361,362,374,376,376,380,393,402,420,431,434,435,438,447,449,449,464,476,523,530,569,320,193,468,348,336,299,304,310,355,280,429,315,288,284,508,333,328,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,227,255,363,370,378,386,388,425,426,427,429,432,434,472,477,481,483,486,487,521,660,248,318,415,381,306,411,449,372,357,295,301,373,364,346,320,277,273,414,587,468,349,349,248,284,526,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,312,329,332,336,375,375,380,386,387,387,391,392,412,422,424,431,432,440,448,449,460,466,490,491,496,502,519,533,540,543,550,580,613,333,244,399,318,314,308,283,521,445,404,388,299,307,421,314,248,371,433,405,402,386,367,347,334,289,605,431,397,369,366,356,344,335,277,348,230,616,380,275,,,,,,,,,,,,,,,,,,,,,,,,
47,381,391,403,405,410,418,420,426,443,445,447,449,456,461,463,469,473,475,481,494,497,498,514,514,516,530,542,550,555,558,577,596,641,645,651,703,505,421,432,419,406,441,431,403,389,331,328,555,455,445,443,413,391,454,457,311,307,305,320,463,451,440,490,420,393,326,642,441,387,386,380,372,371,360,352,318,271,594,508,439,432,415,393,342,340,335,324,322,322,320,304,237,534,491,466,346
48,447,478,478,484,499,516,519,519,521,522,536,548,566,567,572,586,589,614,653,692,698,557,414,487,434,300,295,386,465,360,330,531,505,425,384,356,374,308,228,572,472,453,454,519,452,437,429,449,439,443,449,509,450,436,416,369,432,396,391,387,377,335,317,305,304,299,684,584,541,541,463,432,428,427,406,403,393,386,380,372,370,366,366,358,328,298,736,518,516,484,356,335,,,,
